screen_time,sleep_hours,stress_level,mental_health_status,sleep_quality,productivity,wellness_index
14.28,4.56,High,Excellent,,,
3.19,8.59,High,Poor,,,
8.79,5.51,Medium,Fair,,,
5.55,4.4,High,Excellent,,,
9.28,7.25,Low,Fair,,,
3.76,6.09,Medium,Good,,,
9.98,5.93,Low,Good,,,
5.58,4.49,High,Excellent,,,
14.55,6.15,High,Excellent,,,
13.17,5.57,Medium,Fair,,,
8.63,4.26,High,Excellent,,,
4.34,6.36,Low,Good,,,
5.93,8.99,High,Fair,,,
8.62,4.34,Medium,Excellent,,,
1.05,5.86,Medium,Good,,,
8.57,4.48,Low,Fair,,,
13.65,6.31,Low,Good,,,
1.78,8.57,Medium,Poor,,,
9.45,5.09,Medium,Good,,,
14.73,5.52,Low,Good,,,
13.11,5.16,High,Fair,,,
14.89,5.22,Medium,Poor,,,
3.32,8.66,Low,Excellent,,,
3.36,4.67,Low,Excellent,,,
10.08,4.1,High,Fair,,,
9.99,8.97,Medium,Poor,,,
13.41,4.7,High,Good,,,
13.92,5.32,High,Fair,,,
6.26,8.61,Low,Poor,,,
2.56,7.35,Medium,Excellent,,,
11.34,6.93,High,Good,,,
3.42,5.57,Medium,Excellent,,,
13.15,4.03,High,Good,,,
14.82,5.43,Low,Poor,,,
4.84,4.06,Medium,Fair,,,
8.53,8.59,Medium,Good,,,
6.33,8.55,Medium,Excellent,,,
1.8,4.08,High,Good,,,
3.0,8.6,Low,Poor,,,
5.42,8.37,Low,Poor,,,
3.04,6.13,Medium,Good,,,
8.41,6.07,Medium,Fair,,,
14.39,6.77,Medium,Poor,,,
13.22,4.86,Medium,Excellent,,,
6.7,6.54,Low,Good,,,
12.95,8.01,Low,Fair,,,
12.18,4.09,High,Fair,,,
11.91,6.13,Medium,Poor,,,
12.54,5.91,High,Excellent,,,
4.52,7.2,Low,Fair,,,
10.08,8.78,Low,Excellent,,,
7.14,6.74,High,Fair,,,
10.72,5.34,High,Good,,,
7.68,8.18,High,Poor,,,
5.19,5.01,Low,Good,,,
7.6,8.07,Low,Excellent,,,
12.0,7.68,High,Fair,,,
2.48,5.43,Medium,Good,,,
7.86,8.39,Low,Fair,,,
13.22,5.78,Low,Excellent,,,
13.93,8.19,Medium,Good,,,
5.0,6.2,High,Excellent,,,
5.52,4.43,Medium,Fair,,,
11.63,7.8,High,Good,,,
1.17,4.55,High,Good,,,
4.61,7.97,Low,Excellent,,,
1.4,5.2,Low,Fair,,,
11.45,5.93,Medium,Fair,,,
3.88,8.14,Medium,Excellent,,,
10.91,8.79,Medium,Poor,,,
13.11,5.84,Low,Good,,,
2.39,4.3,High,Poor,,,
1.84,7.71,Medium,Good,,,
4.35,8.74,Medium,Good,,,
13.65,8.97,Low,Excellent,,,
12.85,7.37,High,Excellent,,,
4.27,7.02,High,Fair,,,
6.28,5.7,High,Excellent,,,
1.45,6.16,High,Poor,,,
11.5,7.47,High,Excellent,,,
14.05,4.58,Medium,Excellent,,,
4.41,5.4,Medium,Excellent,,,
14.63,6.89,Medium,Fair,,,
7.72,7.66,Medium,Good,,,
14.9,7.97,Low,Fair,,,
12.67,8.22,High,Fair,,,
11.48,7.33,High,Good,,,
14.6,8.38,High,Good,,,
6.54,4.31,Low,Excellent,,,
1.38,6.9,Low,Excellent,,,
1.74,6.18,Low,Poor,,,
14.98,4.31,Low,Fair,,,
6.33,7.03,Medium,Poor,,,
7.6,4.93,High,Fair,,,
1.97,7.98,Medium,Good,,,
3.24,6.18,High,Fair,,,
1.97,7.92,Low,Good,,,
9.58,6.31,High,Excellent,,,
4.29,4.38,Medium,Fair,,,
2.73,4.83,Low,Poor,,,
2.04,5.92,High,Poor,,,
12.93,4.63,High,Good,,,
7.56,8.89,Medium,Excellent,,,
7.97,5.5,Low,Good,,,
5.24,5.0,Medium,Fair,,,
8.03,7.71,Low,Fair,,,
10.59,8.63,High,Good,,,
2.54,4.64,Low,Poor,,,
4.86,5.7,Low,Poor,,,
7.5,4.76,Medium,Fair,,,
5.4,7.17,High,Excellent,,,
4.75,7.16,High,Good,,,
12.37,8.42,High,Good,,,
10.55,7.21,Medium,Fair,,,
10.13,4.5,Low,Fair,,,
3.99,5.26,Medium,Good,,,
1.64,6.19,Low,Excellent,,,
14.33,6.91,High,Good,,,
9.08,4.05,Medium,Fair,,,
14.3,7.6,Medium,Excellent,,,
9.94,7.04,Medium,Poor,,,
14.61,6.79,Low,Good,,,
5.29,4.22,High,Poor,,,
8.62,4.02,Medium,Good,,,
1.46,5.18,Low,Poor,,,
3.83,5.12,Medium,Poor,,,
10.49,5.89,High,Fair,,,
3.29,8.53,Low,Good,,,
2.84,7.81,Low,Good,,,
10.84,5.68,High,Poor,,,
10.61,5.74,Low,Fair,,,
8.24,6.53,High,Excellent,,,
9.46,6.64,Low,Poor,,,
6.23,5.62,Medium,Fair,,,
4.81,8.19,Medium,Poor,,,
9.77,8.07,Low,Good,,,
5.96,4.82,Medium,Poor,,,
9.36,4.12,Medium,Poor,,,
3.01,6.09,High,Good,,,
12.94,4.49,Medium,Good,,,
5.24,5.43,High,Fair,,,
8.69,5.79,Medium,Good,,,
6.36,4.17,Low,Excellent,,,
13.56,8.53,Medium,Good,,,
1.59,7.59,Medium,Poor,,,
1.19,8.14,Medium,Good,,,
2.69,5.2,High,Excellent,,,
6.21,7.46,High,Poor,,,
7.26,7.01,Medium,Excellent,,,
3.1,7.45,Low,Fair,,,
5.14,7.1,High,Good,,,
13.43,5.26,Medium,Good,,,
11.44,5.68,Low,Excellent,,,
1.57,5.21,High,Excellent,,,
10.28,6.7,Low,Good,,,
6.18,4.05,Medium,Excellent,,,
8.34,8.12,Medium,Excellent,,,
5.83,6.41,Medium,Good,,,
2.47,4.78,High,Excellent,,,
13.62,7.04,Medium,Excellent,,,
7.5,6.78,Medium,Good,,,
12.73,6.1,High,Fair,,,
7.22,5.48,Medium,Excellent,,,
3.8,6.52,High,Excellent,,,
3.01,5.49,Medium,Excellent,,,
3.26,5.76,Low,Poor,,,
1.3,6.65,Low,Poor,,,
9.27,5.05,High,Excellent,,,
10.74,4.88,Low,Excellent,,,
5.29,7.51,Low,Good,,,
12.11,7.07,High,Good,,,
13.78,6.42,Low,Excellent,,,
4.5,8.13,High,Poor,,,
3.39,5.49,Low,Fair,,,
4.77,6.1,High,Good,,,
2.42,5.11,High,Excellent,,,
6.67,4.75,Low,Fair,,,
12.92,5.7,Medium,Fair,,,
4.71,5.91,High,Excellent,,,
13.67,5.97,Low,Fair,,,
12.6,4.97,Low,Fair,,,
6.75,4.32,Low,Good,,,
4.24,7.56,High,Poor,,,
14.85,5.22,Low,Good,,,
2.4,8.67,Medium,Fair,,,
2.25,8.36,Low,Good,,,
1.89,7.71,Low,Good,,,
14.86,8.17,Low,Excellent,,,
14.32,7.35,High,Poor,,,
3.94,5.73,Low,Fair,,,
8.06,7.54,Low,Poor,,,
2.95,8.64,Medium,Fair,,,
6.05,4.99,High,Fair,,,
5.16,4.76,High,Excellent,,,
4.06,6.15,Medium,Fair,,,
11.5,8.35,Low,Good,,,
6.62,4.38,Low,Fair,,,
2.86,5.44,High,Good,,,
5.0,8.52,Medium,Good,,,
11.85,7.95,Low,Fair,,,
5.51,6.82,Low,Excellent,,,
3.78,5.68,Medium,Good,,,
11.52,4.32,High,Fair,,,
1.85,5.88,Low,Poor,,,
13.12,7.48,High,Fair,,,
10.38,8.86,Medium,Excellent,,,
3.46,4.74,Low,Excellent,,,
12.85,8.51,Medium,Excellent,,,
5.03,7.88,Low,Excellent,,,
4.03,5.97,Medium,Poor,,,
2.33,4.58,Low,Excellent,,,
7.78,7.66,Medium,Fair,,,
13.67,7.42,High,Excellent,,,
8.49,8.56,Medium,Fair,,,
11.27,8.68,Medium,Good,,,
3.73,7.0,Low,Excellent,,,
9.41,4.58,Medium,Poor,,,
4.54,5.31,High,Fair,,,
1.49,6.31,Low,Excellent,,,
13.34,6.8,Medium,Fair,,,
8.48,4.37,High,Fair,,,
2.39,8.0,High,Poor,,,
7.52,4.33,High,Good,,,
4.93,7.94,Low,Fair,,,
10.86,4.4,Medium,Excellent,,,
7.49,4.07,High,Poor,,,
6.03,5.61,Low,Poor,,,
11.84,5.32,Low,Good,,,
2.65,8.89,Low,Poor,,,
2.47,7.57,Low,Poor,,,
8.22,8.08,Medium,Good,,,
13.36,6.82,Medium,Poor,,,
12.71,6.85,High,Poor,,,
2.63,6.55,Medium,Poor,,,
11.91,5.02,High,Fair,,,
3.28,8.62,High,Excellent,,,
9.03,7.87,High,Poor,,,
10.11,7.37,High,Good,,,
7.47,4.61,High,Good,,,
6.69,4.2,High,Fair,,,
13.34,6.65,High,Fair,,,
11.77,7.31,High,Excellent,,,
14.2,7.68,High,Good,,,
6.41,4.74,Low,Excellent,,,
8.26,8.45,Low,Excellent,,,
4.83,8.92,High,Fair,,,
12.82,5.36,High,Fair,,,
13.13,6.09,Low,Good,,,
6.53,6.81,High,Good,,,
6.74,7.28,High,Fair,,,
2.37,4.02,Medium,Excellent,,,
6.88,5.73,High,Poor,,,
11.72,6.64,Low,Good,,,
5.32,5.95,Medium,Fair,,,
11.69,8.71,Low,Excellent,,,
2.28,8.81,High,Poor,,,
2.25,8.3,Low,Fair,,,
6.67,5.77,Low,Fair,,,
7.71,5.99,High,Poor,,,
5.53,7.38,Medium,Fair,,,
4.35,4.03,Low,Good,,,
6.18,5.41,High,Good,,,
14.18,7.91,Low,Poor,,,
1.61,8.8,Medium,Fair,,,
12.27,8.31,Low,Poor,,,
10.61,6.3,Low,Poor,,,
6.78,4.09,Medium,Excellent,,,
2.52,4.27,Low,Poor,,,
1.45,8.47,Medium,Poor,,,
8.6,5.3,Medium,Excellent,,,
7.01,5.66,Medium,Good,,,
1.41,5.62,High,Excellent,,,
5.14,5.48,High,Fair,,,
8.09,6.5,High,Excellent,,,
5.23,8.25,Low,Fair,,,
7.69,5.86,High,Good,,,
13.94,6.98,Low,Fair,,,
6.13,8.23,Medium,Excellent,,,
11.85,6.02,Medium,Fair,,,
12.29,8.33,Medium,Excellent,,,
10.22,5.7,High,Excellent,,,
10.67,5.53,High,Excellent,,,
10.47,6.21,High,Poor,,,
12.36,5.53,High,Good,,,
6.92,5.36,Low,Excellent,,,
6.74,6.12,Medium,Good,,,
9.37,4.68,Low,Poor,,,
14.66,7.65,High,Excellent,,,
1.14,8.94,High,Fair,,,
9.82,7.64,Low,Poor,,,
7.48,6.2,High,Poor,,,
14.29,5.39,Medium,Fair,,,
1.2,4.61,Low,Good,,,
5.35,7.55,Low,Good,,,
3.8,8.88,Medium,Poor,,,
11.83,5.26,Low,Good,,,
11.14,8.55,Low,Poor,,,
12.9,5.47,Medium,Good,,,
4.77,8.69,Medium,Excellent,,,
6.47,8.81,Medium,Good,,,
4.37,7.05,High,Good,,,
1.78,5.29,Low,Good,,,
8.46,5.25,Medium,Fair,,,
2.06,6.49,Low,Good,,,
13.31,4.91,Low,Fair,,,
6.62,4.89,Low,Good,,,
5.44,7.9,Low,Good,,,
10.45,7.79,Medium,Fair,,,
1.01,8.36,Medium,Fair,,,
3.55,8.28,Medium,Excellent,,,
2.62,5.38,Low,Good,,,
6.87,5.02,Low,Poor,,,
7.24,8.12,Low,Good,,,
9.74,8.75,Low,Fair,,,
13.08,5.15,Medium,Excellent,,,
10.49,6.23,High,Fair,,,
8.21,6.3,Low,Fair,,,
5.94,6.33,Low,Excellent,,,
14.09,6.23,High,Poor,,,
6.73,8.68,High,Poor,,,
4.85,4.63,Low,Excellent,,,
3.63,4.16,Medium,Poor,,,
10.97,6.64,Medium,Fair,,,
14.64,5.11,Medium,Excellent,,,
10.43,7.15,Medium,Good,,,
8.75,6.37,High,Excellent,,,
11.5,4.84,Low,Excellent,,,
3.06,5.37,Low,Good,,,
14.61,7.38,High,Excellent,,,
6.99,7.76,Medium,Fair,,,
6.48,7.21,High,Good,,,
7.25,6.52,High,Poor,,,
13.17,6.52,Medium,Good,,,
4.61,6.02,Medium,Fair,,,
14.06,8.51,Medium,Fair,,,
13.04,5.03,High,Poor,,,
7.27,8.77,Medium,Poor,,,
5.6,6.08,Medium,Poor,,,
13.71,6.38,Medium,Good,,,
3.11,5.79,Medium,Poor,,,
9.89,6.56,Low,Fair,,,
14.62,8.28,Low,Fair,,,
6.31,5.94,Low,Poor,,,
9.05,4.56,Medium,Poor,,,
14.55,5.65,High,Excellent,,,
11.58,5.68,Medium,Fair,,,
3.18,7.85,Medium,Poor,,,
4.6,7.15,High,Poor,,,
14.77,4.45,Low,Excellent,,,
5.47,5.27,Low,Excellent,,,
4.93,5.61,Low,Poor,,,
8.7,5.37,Medium,Good,,,
13.51,8.27,Medium,Poor,,,
7.51,4.65,Low,Good,,,
8.3,8.59,Low,Poor,,,
9.18,5.03,Low,Poor,,,
1.04,7.94,High,Good,,,
3.46,5.16,High,Fair,,,
14.5,7.19,Medium,Excellent,,,
13.12,5.77,High,Good,,,
3.07,7.96,High,Good,,,
10.42,6.47,Medium,Poor,,,
3.73,4.56,Low,Good,,,
6.58,4.31,Medium,Poor,,,
2.12,4.18,High,Good,,,
14.94,4.94,Low,Poor,,,
8.42,5.91,High,Good,,,
13.85,5.0,High,Excellent,,,
10.81,7.82,High,Poor,,,
11.84,4.05,Low,Fair,,,
8.88,8.0,Low,Good,,,
2.96,5.73,High,Fair,,,
7.91,8.28,High,Good,,,
7.93,5.46,Medium,Poor,,,
3.32,4.88,Low,Poor,,,
3.72,4.55,Low,Poor,,,
7.87,4.03,Medium,Good,,,
12.63,4.21,High,Fair,,,
9.17,4.36,High,Poor,,,
5.89,5.03,High,Poor,,,
14.15,5.7,Low,Good,,,
6.13,6.81,High,Fair,,,
7.0,4.95,Low,Excellent,,,
3.81,7.95,High,Fair,,,
6.05,8.91,Medium,Fair,,,
2.36,7.78,Low,Good,,,
13.59,6.73,Low,Good,,,
14.41,8.37,Medium,Good,,,
1.08,6.78,Medium,Fair,,,
2.54,8.26,Medium,Poor,,,
10.55,7.17,Medium,Good,,,
14.34,6.15,Low,Poor,,,
1.24,5.49,Low,Good,,,
11.17,6.39,Low,Good,,,
13.79,6.22,Low,Excellent,,,
2.78,4.31,Low,Excellent,,,
1.18,4.87,Medium,Poor,,,
4.46,7.42,Low,Excellent,,,
3.68,7.65,High,Excellent,,,
3.06,8.36,Low,Excellent,,,
3.99,6.48,Low,Good,,,
4.41,5.66,High,Fair,,,
4.98,6.2,Low,Excellent,,,
1.27,5.27,High,Poor,,,
8.18,5.05,Low,Good,,,
8.68,7.24,Medium,Good,,,
9.77,8.25,Low,Excellent,,,
2.74,7.36,Medium,Fair,,,
13.56,8.43,Medium,Good,,,
3.41,8.83,High,Good,,,
6.32,6.41,Medium,Fair,,,
1.13,5.68,Medium,Excellent,,,
13.51,4.4,High,Fair,,,
3.87,5.21,High,Excellent,,,
6.07,8.39,Low,Good,,,
11.06,7.56,High,Excellent,,,
6.22,4.21,Low,Fair,,,
14.0,6.33,Low,Good,,,
5.18,4.12,Low,Excellent,,,
8.72,6.2,Medium,Excellent,,,
1.48,5.66,Medium,Fair,,,
12.36,6.92,Low,Good,,,
3.78,4.73,Low,Excellent,,,
14.66,6.02,Medium,Excellent,,,
5.79,7.26,Medium,Poor,,,
14.32,7.67,Low,Good,,,
7.5,5.66,Low,Fair,,,
11.75,5.33,Low,Fair,,,
9.05,8.38,High,Fair,,,
6.89,6.84,Low,Excellent,,,
2.14,6.43,Medium,Good,,,
11.5,4.42,Medium,Poor,,,
12.55,4.17,Low,Excellent,,,
7.3,8.25,High,Poor,,,
3.1,7.59,Low,Excellent,,,
7.8,4.88,Low,Fair,,,
4.61,8.51,High,Good,,,
1.03,8.47,Low,Good,,,
8.23,4.12,High,Good,,,
12.52,5.85,High,Poor,,,
11.81,4.46,Low,Good,,,
9.8,5.01,High,Poor,,,
7.06,4.49,Low,Fair,,,
7.95,5.97,Low,Good,,,
14.85,4.11,Low,Good,,,
14.41,6.13,Medium,Fair,,,
11.5,7.06,Medium,Fair,,,
13.57,4.04,Low,Good,,,
14.67,8.89,High,Fair,,,
1.49,4.24,Low,Excellent,,,
3.11,7.5,Low,Good,,,
14.41,6.67,Medium,Fair,,,
14.45,5.15,Medium,Poor,,,
3.99,8.15,Medium,Excellent,,,
13.72,6.56,High,Fair,,,
7.48,8.02,Low,Poor,,,
7.9,6.87,High,Fair,,,
9.28,4.15,Low,Good,,,
12.55,5.81,High,Fair,,,
5.97,7.4,High,Excellent,,,
14.9,4.32,Low,Good,,,
12.86,7.79,Medium,Poor,,,
3.69,7.6,High,Excellent,,,
1.38,8.36,Low,Good,,,
2.12,5.77,Low,Poor,,,
14.78,8.09,Low,Good,,,
6.42,8.99,Low,Fair,,,
6.22,7.73,High,Excellent,,,
14.75,6.82,High,Good,,,
14.79,4.81,Low,Excellent,,,
9.79,7.4,Medium,Fair,,,
3.49,7.23,Medium,Fair,,,
3.01,8.39,Medium,Poor,,,
12.4,6.38,High,Good,,,
2.5,5.67,Medium,Excellent,,,
6.69,7.8,Low,Good,,,
4.08,5.33,High,Good,,,
13.01,4.27,Low,Excellent,,,
9.3,7.5,High,Fair,,,
1.65,4.94,Medium,Good,,,
13.9,4.89,Low,Excellent,,,
13.47,4.47,High,Good,,,
6.44,8.28,Medium,Good,,,
11.76,4.79,Medium,Poor,,,
10.85,4.46,Medium,Good,,,
12.85,6.14,High,Good,,,
1.6,8.16,Medium,Fair,,,
11.35,8.43,Low,Poor,,,
9.95,5.61,Low,Fair,,,
1.07,5.16,Medium,Poor,,,
11.84,8.24,High,Fair,,,
14.11,8.59,High,Good,,,
6.2,5.2,Medium,Good,,,
5.81,7.34,Medium,Fair,,,
14.27,7.64,Low,Poor,,,
11.49,4.76,Medium,Good,,,
5.41,8.1,High,Excellent,,,
7.28,8.11,Medium,Good,,,
9.84,4.03,Low,Fair,,,
7.66,7.38,High,Poor,,,
11.47,4.29,Low,Excellent,,,
12.03,5.35,High,Poor,,,
13.42,8.74,Low,Excellent,,,
8.92,6.51,Low,Good,,,
5.24,8.89,Medium,Excellent,,,
3.5,4.38,High,Good,,,
2.35,4.58,Medium,Good,,,
11.37,8.42,High,Fair,,,
8.51,8.01,Medium,Excellent,,,
2.45,8.06,High,Fair,,,
8.05,6.94,High,Fair,,,
8.54,7.85,High,Fair,,,
11.1,5.53,High,Fair,,,
13.46,4.58,Low,Good,,,
7.24,5.27,Medium,Poor,,,
13.1,5.55,Low,Excellent,,,
11.94,5.68,Medium,Excellent,,,
5.81,4.77,High,Fair,,,
3.94,7.7,Medium,Fair,,,
5.7,8.32,Low,Poor,,,
11.95,7.29,Low,Good,,,
10.16,6.54,High,Excellent,,,
10.73,5.01,Low,Poor,,,
11.05,7.59,Medium,Good,,,
13.61,5.09,Medium,Fair,,,
1.15,6.09,Medium,Poor,,,
12.28,5.0,High,Fair,,,
5.84,4.06,Low,Fair,,,
9.77,5.87,High,Good,,,
6.56,5.28,Medium,Excellent,,,
9.83,7.76,High,Poor,,,
7.05,5.09,Low,Good,,,
14.45,8.17,Medium,Excellent,,,
2.52,7.52,Low,Good,,,
7.99,7.51,High,Good,,,
1.93,8.06,High,Excellent,,,
12.79,4.0,Medium,Excellent,,,
5.69,7.19,Low,Excellent,,,
7.07,5.84,High,Poor,,,
11.51,8.88,Medium,Poor,,,
2.69,6.96,High,Excellent,,,
9.6,4.2,High,Excellent,,,
4.68,7.98,Low,Fair,,,
5.46,7.93,Medium,Excellent,,,
1.47,4.15,High,Excellent,,,
4.6,5.5,Low,Poor,,,
10.22,6.49,High,Good,,,
6.14,7.18,Low,Excellent,,,
4.05,7.19,Medium,Good,,,
12.2,6.59,Low,Good,,,
9.51,6.86,Medium,Excellent,,,
11.33,7.95,High,Excellent,,,
9.73,8.05,Low,Excellent,,,
4.74,6.92,Low,Excellent,,,
5.69,7.49,Medium,Excellent,,,
5.81,5.64,High,Fair,,,
4.82,8.93,High,Excellent,,,
5.38,6.6,High,Poor,,,
6.04,7.49,Medium,Fair,,,
10.1,6.8,Low,Fair,,,
7.8,8.19,Low,Fair,,,
8.59,8.62,Medium,Fair,,,
5.07,5.47,High,Poor,,,
7.08,4.41,Medium,Good,,,
4.89,4.48,High,Excellent,,,
13.08,4.17,Low,Good,,,
4.0,8.02,Low,Poor,,,
13.87,6.53,Medium,Poor,,,
7.11,5.84,High,Good,,,
10.43,4.18,High,Poor,,,
10.09,7.11,Low,Excellent,,,
11.06,8.74,Medium,Excellent,,,
8.01,8.12,Medium,Excellent,,,
10.08,8.24,High,Poor,,,
13.27,7.59,Medium,Fair,,,
12.38,5.47,Low,Excellent,,,
7.44,6.22,High,Good,,,
12.2,4.51,Low,Poor,,,
7.53,4.86,Medium,Fair,,,
1.96,4.42,Medium,Fair,,,
9.55,8.82,High,Fair,,,
1.5,8.75,Medium,Excellent,,,
5.37,6.1,Low,Fair,,,
11.08,6.58,High,Fair,,,
9.33,4.07,Medium,Fair,,,
10.62,8.24,Medium,Good,,,
11.86,7.88,Low,Excellent,,,
5.94,8.9,High,Poor,,,
1.14,7.47,Medium,Fair,,,
6.59,7.79,High,Good,,,
10.69,4.32,Low,Fair,,,
6.37,5.98,Medium,Excellent,,,
2.43,5.42,High,Excellent,,,
14.02,5.79,Low,Fair,,,
1.28,4.59,Medium,Fair,,,
5.68,7.81,Medium,Excellent,,,
6.33,8.31,High,Poor,,,
7.99,6.65,Medium,Fair,,,
3.0,6.13,Medium,Poor,,,
2.98,7.73,Low,Excellent,,,
8.92,7.04,High,Fair,,,
1.98,4.25,Low,Fair,,,
11.49,5.73,Medium,Poor,,,
4.65,7.76,High,Excellent,,,
4.5,7.46,Medium,Good,,,
13.51,8.12,Medium,Fair,,,
10.9,4.38,High,Excellent,,,
14.05,6.91,Medium,Poor,,,
14.88,7.49,High,Fair,,,
13.29,6.51,Low,Excellent,,,
11.05,7.1,Low,Excellent,,,
5.32,5.33,Medium,Excellent,,,
6.43,8.62,Low,Excellent,,,
4.41,5.63,Low,Poor,,,
6.14,5.09,Low,Poor,,,
7.76,8.34,Medium,Poor,,,
9.73,4.78,Low,Fair,,,
4.94,6.04,Medium,Excellent,,,
13.67,8.13,Medium,Poor,,,
14.58,6.26,Low,Fair,,,
4.85,4.72,Medium,Excellent,,,
10.58,4.02,High,Fair,,,
9.48,7.68,Low,Good,,,
14.13,4.96,Medium,Poor,,,
2.23,4.98,High,Fair,,,
8.27,5.0,High,Good,,,
3.52,4.93,Medium,Fair,,,
4.02,8.35,Low,Excellent,,,
10.21,4.26,High,Poor,,,
3.14,4.55,Low,Excellent,,,
2.92,5.23,Medium,Good,,,
9.02,7.77,Medium,Excellent,,,
9.77,7.48,High,Fair,,,
11.25,7.72,High,Poor,,,
3.76,6.87,Low,Excellent,,,
10.3,6.73,Low,Good,,,
13.75,8.12,Low,Excellent,,,
8.47,8.34,High,Fair,,,
13.88,6.72,Medium,Poor,,,
10.35,8.91,Low,Excellent,,,
5.15,7.81,Medium,Fair,,,
5.42,6.38,Medium,Poor,,,
6.03,8.63,High,Poor,,,
10.37,6.78,Medium,Excellent,,,
7.72,5.48,Medium,Poor,,,
1.86,8.78,High,Fair,,,
3.46,5.63,Medium,Good,,,
13.71,8.94,High,Excellent,,,
4.13,5.14,High,Good,,,
13.86,6.14,Medium,Good,,,
3.1,7.63,Medium,Excellent,,,
7.78,5.99,Low,Poor,,,
6.16,6.01,High,Good,,,
8.84,5.01,High,Poor,,,
